0	81	73	57	74	39	21	37	55	84	31	75	2	41	73
31	48	27	88	47	26	71	74	52	42	15	8	0	34	6
50	67	16	53	34	86	37	48	0	55	5	99	33	51	26
96	99	94	84	95	49	62	62	16	88	38	71	92	65	29
9	63	9	46	63	99	98	85	78	6	20	5	82	72	9
52	41	76	13	98	32	20	52	79	45	24	82	97	19	52
96	32	8	20	15	69	45	23	27	10	52	15	95	90	2
39	58	42	54	47	22	40	28	81	68	77	78	65	18	91
85	35	87	39	65	81	92	71	63	81	55	2	50	63	47
96	11	63	10	35	11	19	95	46	74	52	7	96	75	49
61	41	70	6	12	2	47	50	98	23	88	21	42	53	60
6	5	50	1	56	13	70	29	18	85	97	49	41	87	99
15	98	99	17	31	48	84	38	43	75	62	91	5	90	82
80	80	87	60	34	11	22	77	87	65	97	46	85	44	12
10	97	96	71	95	99	40	37	25	92	49	24	7	67	17
86	22	63	6	61	25	84	35	28	69	38	17	81	22	22
7	25	57	65	69	92	76	26	91	6	35	36	67	41	23
12	88	15	2	56	80	38	11	23	48	59	74	12	65	78
93	27	18	69	48	57	27	5	41	88	85	4	59	30	74
34	29	10	81	57	1	41	31	11	51	81	26	15	55	51
42	3	14	60	68	81	98	92	15	72	47	41	25	57	28
44	21	26	52	24	49	88	7	9	93	13	79	50	73	48
0	38	90	10	98	9	9	16	3	50	12	28	78	56	1
47	36	1	50	23	33	29	64	61	71	15	22	35	86	73
66	57	82	13	40	62	39	68	69	22	3	90	35	86	53
80	93	12	64	26	15	10	60	60	55	61	86	67	18	36
86	27	36	90	10	22	35	73	77	42	43	77	29	42	27
28	40	36	73	36	20	30	74	51	91	48	75	1	3	21
71	99	79	27	96	94	65	45	6	52	71	29	23	96	32
74	86	16	42	86	19	49	30	44	6	4	34	33	57	58
23	54	70	55	39	39	98	15	37	52	97	11	7	80	67
17	8	48	53	96	80	7	76	47	87	0	72	94	48	1
84	53	56	46	19	68	96	43	69	19	37	92	40	73	4
11	23	99	40	5	35	3	33	86	64	24	38	11	97	20
4	88	64	17	47	89	86	38	74	44	99	33	55	9	3
56	79	87	91	17	53	51	33	73	73	62	96	24	6	36
86	94	3	33	44	49	68	86	78	25	72	62	51	88	81
97	24	36	8	47	55	69	59	53	19	85	22	87	76	63
75	63	9	54	91	46	8	36	51	39	33	23	47	63	52
54	41	10	32	86	2	88	21	83	61	65	62	79	5	59
54	36	9	33	20	27	61	83	67	29	11	57	74	5	41
48	93	7	42	82	14	50	60	61	5	93	9	47	55	22
56	12	11	78	2	78	89	35	84	6	11	40	71	95	68
67	80	54	12	25	41	99	40	12	50	93	64	94	22	83
89	84	64	48	50	36	43	62	74	77	51	59	15	93	85
69	86	51	36	29	75	64	38	67	68	37	49	82	4	83
49	7	54	60	10	98	12	74	65	39	8	73	64	90	97
32	63	41	5	51	12	60	49	55	96	85	29	13	41	8
4	10	76	21	82	50	38	74	44	39	5	34	36	72	74
95	87	41	39	95	62	28	46	0	67	20	31	31	26	70
48	85	50	52	49	59	73	76	9	60	11	89	55	39	80
80	94	27	94	82	21	39	80	51	25	16	64	14	34	69
94	22	35	99	86	83	43	95	18	39	0	29	68	36	2
55	38	38	97	91	18	72	81	23	83	41	49	25	70	45
71	90	72	32	25	8	70	26	62	61	40	94	83	17	30
20	35	68	55	8	25	96	22	48	43	23	50	83	36	37
39	60	40	10	16	69	44	21	18	31	76	55	11	2	10
85	23	7	32	12	96	96	37	44	90	20	90	86	69	1
67	3	4	69	77	80	76	42	73	74	22	57	62	32	40
73	1	12	35	30	16	25	44	62	9	88	63	36	23	57
13	14	22	15	93	24	18	63	4	84	58	47	26	93	72
37	96	52	36	59	83	62	95	49	68	82	62	23	19	33
38	0	4	46	66	29	16	7	82	31	37	95	24	58	46
4	86	40	81	97	46	19	90	0	0	80	21	55	68	41
76	84	82	90	64	66	59	1	9	73	32	16	88	8	32
64	90	22	39	45	84	24	57	95	42	62	83	31	9	66
88	93	0	9	97	69	66	66	71	25
